y_true,y_pred_xgb,error_xgb
7.2,6.856943,0.3430568695068361
6.2,6.897442,-0.6974418640136717
7.6,7.2380905,0.3619094848632809
5.75,6.9031076,-1.1531076431274414
7.0,6.8187003,0.18129968643188477
6.0,6.9306297,-0.9306297302246094
7.5,6.9450564,0.5549435615539551
5.5,6.91918,-1.419179916381836
6.0,6.823352,-0.8233518600463867
6.2,6.8531213,-0.6531212806701658
6.6,6.876229,-0.2762288093566898
8.0,7.091241,0.9087591171264648
6.6,6.929078,-0.32907810211181676
7.2,7.2656016,-0.06560163497924787
8.25,7.058439,1.191561222076416
5.5,6.74628,-1.2462801933288574
8.0,7.0041523,0.9958477020263672
6.6,7.0722957,-0.47229566574096715
6.5,6.838381,-0.3383808135986328
7.75,6.808223,0.941777229309082
8.4,7.1912537,1.2087463378906254
7.0,6.8531213,0.14687871932983398
7.2,6.8187003,0.38129968643188494
5.6,6.873997,-1.2739972114562992
7.2,6.894238,0.3057620048522951
6.0,6.714086,-0.7140860557556152
6.8,6.8221865,-0.02218647003173846
7.0,6.8690305,0.13096952438354492
6.4,6.890549,-0.49054918289184535
6.8,7.091241,-0.29124088287353533
7.0,7.075747,-0.07574701309204102
7.25,6.92479,0.3252100944519043
7.75,7.076076,0.6739239692687988
5.8,6.74628,-0.9462801933288576
7.0,7.0736036,-0.07360363006591797
6.8,6.9437485,-0.14374847412109393
6.333333333333333,7.0595856,-0.7262522379557295
7.8,7.0971704,0.7028296470642088
7.0,6.9684467,0.03155326843261719
7.4,7.255728,0.14427223205566442
6.6,7.068128,-0.46812810897827184
7.0,7.0595856,-0.0595855712890625
6.0,6.7807174,-0.7807173728942871
7.2,6.8918257,0.3081743240356447
6.6,6.9161406,-0.3161405563354496
7.0,6.9720583,0.02794170379638672
7.0,6.9090405,0.09095954895019531
6.2,6.890549,-0.6905491828918455
7.75,7.050453,0.6995468139648438
6.4,7.060327,-0.660327053070068
6.8,7.2656016,-0.4656016349792482
8.0,7.176089,0.823911190032959
6.2,6.6985407,-0.498540687561035
7.6,7.0185657,0.581434345245361
8.25,6.9450564,1.304943561553955
6.25,6.909306,-0.6593060493469238
8.25,6.877715,1.3722848892211914
6.75,7.106574,-0.35657405853271484
7.6,7.208891,0.39110908508300746
6.2,6.872406,-0.6724060058593748
7.2,6.838381,0.36161918640136737
6.5,6.7905912,-0.2905912399291992
7.2,7.0595856,0.14041442871093768
6.6,6.9509716,-0.35097160339355504
6.25,6.8659625,-0.6159625053405762
7.0,7.0854797,-0.085479736328125
8.0,6.7529073,1.2470927238464355
7.8,7.255728,0.5442722320556639
8.0,6.8895836,1.1104164123535156
7.25,6.9397655,0.31023454666137695
8.6,7.0480328,1.5519672393798825
6.4,6.7296953,-0.3296953201293942
7.8,7.255728,0.5442722320556639
7.0,7.0736036,-0.07360363006591797
7.166666666666667,6.8083386,0.35832802454630563
8.0,6.883019,1.116981029510498
6.75,6.8835907,-0.1335906982421875
7.2,7.2380905,-0.03809051513671857
8.0,6.807221,1.1927790641784668
7.0,6.823958,0.1760420799255371
6.0,7.012312,-1.0123119354248047
6.8,6.9450564,-0.1450564384460451
7.4,7.0694594,0.33054056167602575
7.4,6.7656064,0.6343935966491703
7.25,6.9450564,0.3049435615539551
8.2,6.912004,1.2879960060119622
8.4,7.255728,1.1442722320556644
7.5,6.879815,0.6201848983764648
7.0,7.1932554,-0.19325542449951172
8.4,7.2229257,1.1770743370056156
6.2,6.9836445,-0.7836444854736326
7.8,7.076076,0.7239239692687987
6.2,6.680107,-0.4801071166992186
6.8,6.8474183,-0.04741830825805682
7.75,7.208891,0.5411090850830078
5.8,6.883038,-1.0830380439758303
6.2,6.898203,-0.6982028961181639
6.5,7.2172537,-0.7172536849975586
7.4,6.969267,0.43073310852050817
5.4,6.840406,-1.4404059410095211
8.0,6.8528976,1.1471023559570312
7.0,7.058439,-0.058438777923583984
7.5,7.079533,0.42046689987182617
7.0,7.2380905,-0.23809051513671875
