y_true,y_pred_lstm,error_lstm
7.0,6.929428,0.0705719
7.2,6.7774906,0.4225092
7.6,6.452917,1.1470828
7.6,7.2514496,0.34855032
7.75,7.351355,0.39864492
7.8,7.411344,0.38865614
6.8,6.9825697,-0.1825695
8.0,7.3846264,0.6153736
7.2,7.402605,-0.20260525
7.8,6.992215,0.80778503
7.5,7.22451,0.2754898
7.75,7.2547364,0.49526358
8.0,7.2100034,0.7899966
7.0,7.20229,-0.20229006
7.6,7.065849,0.5341511
7.4,7.457797,-0.057796955
7.2,7.0005283,0.19947147
7.0,7.3093963,-0.30939627
6.6,5.1239624,1.4760375
6.4,6.63656,-0.23655987
6.5,6.6289387,-0.12893867
6.0,6.855257,-0.85525703
7.4,6.5694375,0.8305626
7.0,7.1970077,-0.19700766
7.2,6.9537616,0.24623823
7.25,6.8682017,0.38179827
7.4,6.8846684,0.51533175
6.4,6.967723,-0.5677228
7.4,7.3503137,0.049686432
7.2,7.34876,-0.14876032
7.5,7.4205422,0.07945776
7.4,6.9052267,0.4947734
6.4,7.453758,-1.0537577
6.8,7.3457465,-0.5457463
8.0,7.5872374,0.41276264
7.2,7.5641637,-0.36416388
7.8,7.271389,0.5286112
6.4,7.4608583,-1.0608582
7.0,6.879922,0.12007809
7.2,7.5011644,-0.30116463
7.4,7.1942844,0.20571566
7.6,7.3471203,0.25287962
7.2,7.0080366,0.1919632
6.6,7.0976915,-0.49769163
6.0,5.91199,0.088009834
6.0,6.4160123,-0.4160123
6.6,6.564045,0.035954952
6.5,6.745568,-0.2455678
5.75,6.908459,-1.1584592
7.0,7.3922443,-0.39224434
7.0,7.0556803,-0.055680275
6.6,7.020238,-0.42023802
6.6,6.996047,-0.39604712
6.8,6.6303153,0.16968489
6.4,7.2778687,-0.87786865
6.2,7.3114195,-1.1114197
7.2,7.3693285,-0.16932869
8.25,7.265611,0.9843888
7.25,6.498678,0.7513218
7.8,7.039237,0.76076317
7.25,7.7943964,-0.5443964
6.4,7.32845,-0.9284501
8.0,7.3294344,0.6705656
7.0,6.8110247,0.18897533
7.0,6.769269,0.23073101
6.2,7.1335993,-0.9335995
7.6,7.211734,0.3882661
7.0,7.392271,-0.39227104
7.2,7.007142,0.19285774
7.0,7.0153437,-0.015343666
6.0,6.1553006,-0.15530062
5.6,6.242448,-0.64244795
6.3333335,6.69446,-0.36112642
5.8,6.8438296,-1.0438294
7.4,6.6513543,0.7486458
7.0,7.2466273,-0.24662733
7.0,6.984661,0.015338898
7.25,6.812043,0.4379568
7.25,6.7112083,0.53879166
6.0,6.717297,-0.7172971
7.0,6.5116277,0.48837233
7.0,7.0565176,-0.0565176
7.5,7.156867,0.34313297
6.5,7.585723,-1.0857229
6.2,7.072593,-0.8725934
8.0,7.568898,0.4311018
7.0,7.602259,-0.60225916
7.6,6.8870673,0.7129326
7.6,7.5559773,0.04402256
7.0,6.9791903,0.02080965
7.0,6.9372845,0.06271553
5.2,6.395936,-1.1959362
7.6,7.3330026,0.26699734
7.4,7.1732697,0.22673035
7.2,6.9651837,0.23481607
7.75,7.2499685,0.5000315
5.6,5.9635186,-0.36351871
6.6666665,6.0921993,0.5744672
7.2,6.6879463,0.5120535
6.6,6.657481,-0.05748129
7.6666665,6.929887,0.7367797
7.3333335,7.1245017,0.20883179
7.0,6.9855843,0.014415741
5.4,7.097643,-1.6976428
7.2,6.8246584,0.37534142
6.6,6.3444476,0.2555523
7.0,6.8619194,0.1380806
7.4,7.2012086,0.1987915
6.8,7.393441,-0.593441
6.0,6.8083415,-0.8083415
5.8,6.638497,-0.8384967
7.6,7.6637444,-0.063744545
8.0,7.376444,0.62355614
7.8,7.3467207,0.4532795
8.2,7.3865504,0.8134494
6.5,7.045591,-0.5455909
8.0,7.231923,0.7680769
7.0,5.851981,1.1480188
7.2,7.5332565,-0.33325672
7.5,7.2185965,0.28140354
7.2,7.112379,0.087620735
6.4,7.3749957,-0.9749956
3.3333333,6.3269186,-2.9935853
6.3333335,6.465654,-0.1323204
7.25,7.1022763,0.14772367
5.6,6.267291,-0.66729116
7.75,7.061335,0.6886649
8.0,7.321596,0.67840385
7.0,6.823828,0.17617178
7.2,6.208513,0.991487
7.2,7.07355,0.12644958
7.25,6.37399,0.87600994
7.0,7.107601,-0.107601166
7.8,7.1204615,0.6795387
6.2,6.9943566,-0.7943568
6.25,6.7634335,-0.51343346
6.6,6.422505,0.177495
7.6,7.4506264,0.14937353
7.0,7.4431767,-0.44317675
7.5,7.4427834,0.057216644
7.5,7.702411,-0.20241117
7.0,6.7456775,0.25432253
8.0,7.649761,0.3502388
8.4,6.728744,1.6712556
7.6,7.461507,0.13849306
7.5,7.279273,0.22072697
7.8,7.0866184,0.71338177
7.5,7.0632367,0.4367633
5.4,5.6427183,-0.24271822
6.0,6.469643,-0.46964312
8.0,7.1768394,0.82316065
7.0,6.15864,0.8413601
8.8,7.251821,1.5481791
8.0,7.4498754,0.55012465
6.2,6.772509,-0.5725093
6.75,6.602318,0.14768219
8.0,7.0840607,0.91593933
7.75,6.5164475,1.2335525
7.0,7.2048917,-0.20489168
7.5,7.2452917,0.2547083
7.6,6.6133165,0.98668337
7.0,6.6896462,0.31035376
8.0,6.721827,1.278173
9.333333,7.455375,1.8779578
8.0,7.2462034,0.7537966
6.0,7.435722,-1.4357219
7.8,7.549496,0.25050402
7.0,6.869905,0.130095
7.5,7.7376366,-0.23763657
7.6,7.271901,0.32809877
7.5,7.561165,-0.061164856
7.6,7.289686,0.3103137
7.4,7.296102,0.10389805
7.2,7.240858,-0.04085827
6.0,5.599262,0.40073776
6.0,6.291977,-0.29197693
6.25,7.3225303,-1.0725303
6.0,6.485129,-0.48512888
8.0,7.5722704,0.4277296
7.6666665,7.5152392,0.15142727
7.0,6.331816,0.6681838
7.2,6.796979,0.40302086
7.2,7.258283,-0.05828333
6.3333335,7.0037313,-0.67039776
6.8,7.3607564,-0.5607562
7.0,7.2938867,-0.29388666
7.0,7.091775,-0.09177494
7.4,7.162564,0.2374363
7.8,7.112979,0.68702126
8.0,7.9071574,0.09284258
7.25,7.3096714,-0.059671402
6.5,6.8359504,-0.33595037
7.8,7.578997,0.22100306
7.4,6.9069624,0.4930377
7.0,7.5352244,-0.53522444
6.2,7.2732754,-1.0732756
7.6,7.4230356,0.17696428
7.0,7.2536883,-0.25368834
7.0,7.260372,-0.26037216
6.75,7.2655053,-0.5155053
6.75,5.908621,0.84137917
5.8,6.192472,-0.3924718
6.6,6.459273,0.14072704
8.166667,7.8474045,0.3192625
7.4444447,7.45373,-0.00928545
7.0,6.6662254,0.33377457
